;Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a;21
613;CEBR3;14,90;7,29;1,24;3,039;101,51%;0,728;1,91;8,72;1,96;2,79;2,57;34,83%;55,63%;2,61;17,02%;16,97%;32.135,00;868.046.000,00;0,00;-40,85%;
614;VULC3;10,50;7,31;1,84;1,269;3,33%;1,252;3,13;9,23;3,74;9,76;7,67;13,75%;17,37%;2,59;15,93%;25,13%;4.499.260,00;1.405.300.000,00;0,26;10,02%;
615;ELPL3;49,32;7,31;3,65;0,466;0,00%;0,291;13,26;3,62;-0,48;5,84;4,59;12,88%;6,38%;1,08;8,95%;49,90%;0,00;2.669.610.000,00;2,75;10,13%;
616;TRIS3;3,75;7,33;0,57;0,951;5,86%;0,305;0,58;5,48;1,08;7,83;7,75;17,35%;14,09%;3,72;6,64%;7,76%;5.172.070,00;1.231.170.000,00;0,50;14,13%;
617;CPFE3;31,43;7,38;2,23;0,901;17,31%;0,542;10,43;4,54;-1,12;6,85;5,76;19,84%;12,57%;1,27;13,40%;30,19%;130.252.000,00;16.244.700.000,00;1,38;8,91%;
618;STBP11;14,40;7,42;1,10;1,497;0,00%;0,523;3,18;5,74;-2,09;4,10;2,83;26,10%;20,19%;2,47;12,10%;14,90%;0,00;2.248.940.000,00;0,16;16,15%;
619;WIZS3;7,57;7,48;3,46;1,501;7,77%;0,635;-24,07;3,55;-1,55;3,72;3,34;42,28%;24,04%;0,84;20,12%;46,25%;10.401.100,00;350.024.000,00;0,64;12,17%;
620;SOND6;43,00;7,49;1,63;1,106;15,43%;1,145;3,15;5,91;4,05;4,18;3,81;18,73%;14,76%;2,69;29,30%;21,69%;495,35;65.022.000,00;0,00;16,94%;
621;JOPA3;21,60;7,51;0,42;0,111;3,83%;0,103;0,27;2,29;2,42;7,26;6,20;4,82%;1,83%;2,11;6,92%;5,54%;5.704,12;548.874.000,00;2,04;18,54%;
622;SHUL4;4,29;7,53;1,63;0,862;2,19%;0,707;1,65;7,20;9,06;9,20;7,32;11,98%;11,45%;2,97;13,26%;21,64%;1.216.870,00;940.228.000,00;0,90;21,16%;
623;CGAS3;119,25;7,56;18,07;1,216;13,69%;1,224;9,41;5,89;-2,50;8,10;6,94;20,64%;16,08%;1,42;26,78%;238,81%;5.894,72;874.785.000,00;8,46;18,67%;
